time,ship_lat,ship_lon,ship_radiation,interpolated_ssi
2017-11-07 01:17:00,9.829963,-125.08107,59.52,111.26132587916457
2017-11-07 01:18:00,9.829467,-125.08095,55.61,111.4014283070202
2017-11-07 01:19:00,9.828935,-125.08087,52.59,111.5422254527169
2017-11-07 01:20:00,9.828536,-125.08089,49.56,111.68372250375276
2017-11-07 01:21:00,9.828332,-125.08092,47.29,111.82444468981078
2017-11-07 01:22:00,9.828216,-125.08093,45.78,111.96449403601325
2017-11-07 01:23:00,9.828167,-125.08092,44.26,112.10396818664113
2017-11-07 01:24:00,9.82819,-125.08087,41.99,112.24258022923271
2017-11-07 01:25:00,9.828172,-125.080795,40.98,112.3810533308786
2017-11-07 01:26:00,9.828121,-125.08072,40.23,112.51967987353672
2017-11-07 01:27:00,9.828042,-125.08058,40.23,112.65757970114376
2017-11-07 01:28:00,9.827936,-125.08055,39.09,112.79705522242392
2017-11-07 01:29:00,9.827917,-125.08069,38.34,112.93836735989544
2017-11-07 01:30:00,9.827892,-125.08098,37.2,113.08168487440555
2017-11-07 01:31:00,9.827694,-125.0813,36.82,113.22620228753195
2017-11-07 01:32:00,9.827428,-125.08154,36.32,113.36998122684561
2017-11-07 01:33:00,9.827207,-125.081726,34.8,113.51283903609318
2017-11-07 01:34:00,9.827037,-125.08186,33.67,113.65477418329127
2017-11-07 01:35:00,9.826919,-125.08191,32.16,113.7953601565951
2017-11-07 01:36:00,9.826854,-125.08188,30.9,113.93464503904205
2017-11-07 01:37:00,9.826738,-125.08182,29.76,114.0737715618639
2017-11-07 01:38:00,9.826503,-125.08171,31.27,114.21279224271731
2017-11-07 01:39:00,9.826296,-125.08176,32.53,114.35379204178122
2017-11-07 01:40:00,9.826333,-125.08188,31.78,114.49458013068178
2017-11-07 01:41:00,9.826841,-125.08205,31.53,114.63383735742207
2017-11-07 01:42:00,9.827851,-125.08234,26.99,114.77234240382602
2017-11-07 01:43:00,9.829323,-125.08246,22.82,114.90645813356466
2017-11-07 01:44:00,9.831075,-125.08229,25.6,115.03544881413015
2017-11-07 01:45:00,9.832906,-125.08176,21.69,115.1593262173972
2017-11-07 01:46:00,9.834687,-125.08087,20.43,115.27869015823116
2017-11-07 01:47:00,9.836368,-125.07973,17.91,115.39522327404073
2017-11-07 01:48:00,9.838215,-125.07849,16.39,115.50966621594709
2017-11-07 01:49:00,9.840166,-125.07718,14.75,115.62270276279824
2017-11-07 01:50:00,9.842168,-125.075836,13.24,115.73505394504056
2017-11-07 01:51:00,9.844056,-125.07431,12.11,115.845535855444
2017-11-07 01:52:00,9.845966,-125.07289,11.1,115.9573128901016
2017-11-07 01:53:00,9.848138,-125.07182,10.21,116.07248581302123
2017-11-07 01:54:00,9.850418,-125.07114,10.21,116.19229800990539
2017-11-07 01:55:00,9.852729,-125.070496,9.71,116.31244066011433
2017-11-07 01:56:00,9.855045,-125.069855,9.58,116.43259961125841
2017-11-07 01:57:00,9.857357,-125.0692,9.46,116.55259259663686
2017-11-07 01:58:00,9.859669,-125.06854,9.46,116.67251966605969
2017-11-07 01:59:00,9.861981,-125.06789,9.08,116.79257856739409
2017-11-07 02:00:00,9.864297,-125.067245,8.83,116.91268478577354
2017-11-07 02:01:00,9.866607,-125.06659,8.7,117.03268707060744
2017-11-07 02:02:00,9.868917,-125.06595,8.2,117.15288710330847
2017-11-07 02:03:00,9.871223,-125.06531,7.94,117.27310573492008
2017-11-07 02:04:00,9.873529,-125.06467,7.44,117.39332436653189
2017-11-07 02:05:00,9.875849,-125.064026,6.94,117.51342516919192
2017-11-07 02:06:00,9.878117,-125.063416,6.31,117.63421598618852
2017-11-07 02:07:00,9.880454,-125.06279,6.31,117.75447504091954
2017-11-07 02:08:00,9.882752,-125.062164,6.05,117.87491543502836
2017-11-07 02:09:00,9.885046,-125.061554,5.93,117.99558535910631
2017-11-07 02:10:00,9.887332,-125.06094,5.93,118.11623974824077
2017-11-07 02:11:00,9.889637,-125.06033,5.93,118.23685852531455
2017-11-07 02:12:00,9.891956,-125.05972,5.8,118.35741220620156
2017-11-07 02:13:00,9.89428,-125.05911,5.8,118.47794263845039
2017-11-07 02:14:00,9.896608,-125.05849,5.55,118.59832263987707
2017-11-07 02:15:00,9.898709,-125.05792,5.55,118.7204172890353
2017-11-07 02:16:00,9.9003,-125.057465,5.42,118.84639936627208
2017-11-07 02:17:00,9.901511,-125.05713,5.42,118.97573032295014
2017-11-07 02:18:00,9.902479,-125.05687,5.67,119.10717990278087
2017-11-07 02:19:00,9.903269,-125.056656,5.8,119.24006356092434
2017-11-07 02:20:00,9.903937,-125.05646,5.55,119.37375178328045
2017-11-07 02:21:00,9.904512,-125.056305,5.67,119.50841294114423
2017-11-07 02:22:00,9.90501,-125.05618,5.8,119.64382762377093
2017-11-07 02:23:00,9.905463,-125.05609,5.93,119.77991295583165
2017-11-07 02:24:00,9.905859,-125.056015,5.55,119.91646107023516
2017-11-07 02:25:00,9.906243,-125.055954,5.67,120.05324954604637
2017-11-07 02:26:00,9.906597,-125.05591,5.42,120.1904016279364
2017-11-07 02:27:00,9.907068,-125.0558,5.55,120.32613960107668
2017-11-07 02:28:00,9.907853,-125.05551,5.67,120.45804458533063
2017-11-07 02:29:00,9.908117,-125.0547,5.42,120.58551681828513
2017-11-07 02:30:00,9.908545,-125.0533,5.42,120.70444841312667
2017-11-07 02:31:00,9.9091,-125.0515,5.42,120.81751621609716
2017-11-07 02:32:00,9.909698,-125.049515,5.3,120.92794519041571
2017-11-07 02:33:00,9.91,-125.047424,5.04,121.03835306585336
2017-11-07 02:34:00,9.910039,-125.04549,5.17,121.15205358067087
2017-11-07 02:35:00,9.910106,-125.043625,5.3,121.26653354330415
2017-11-07 02:36:00,9.910193,-125.04173,5.17,121.38052501565
2017-11-07 02:37:00,9.910456,-125.03972,5.17,121.49218206894885
2017-11-07 02:38:00,9.910759,-125.03766,5.3,121.6029939735845
2017-11-07 02:39:00,9.91117,-125.03558,5.3,121.71304004381199
2017-11-07 02:40:00,9.912373,-125.0338,4.92,121.82335848709536
2017-11-07 02:41:00,9.91405,-125.0323,4.79,121.93516425300066
2017-11-07 02:42:00,9.916028,-125.03108,4.92,122.0492617444093
2017-11-07 02:43:00,9.918228,-125.03012,4.79,122.16575462598175
2017-11-07 02:44:00,9.920483,-125.02937,5.04,122.28476024267623
2017-11-07 02:45:00,9.922785,-125.028625,4.79,122.40361323812749
2017-11-07 02:46:00,9.925269,-125.02779,4.92,122.52043349594452
2017-11-07 02:47:00,9.927849,-125.02692,5.04,122.63634596821807
2017-11-07 02:48:00,9.930457,-125.02608,5.17,122.75252374385207
2017-11-07 02:49:00,9.933117,-125.02597,5.42,122.87808346319062
2017-11-07 02:50:00,9.935816,-125.02641,5.55,123.0107125982851
2017-11-07 02:51:00,9.938352,-125.02733,5.55,123.15042757073823
2017-11-07 02:52:00,9.940884,-125.02841,5.93,123.29227045268607
2017-11-07 02:53:00,9.943336,-125.02974,5.8,123.43778111063351
2017-11-07 02:54:00,9.945484,-125.03145,5.67,123.58971489842119
2017-11-07 02:55:00,9.947661,-125.0332,5.8,123.74204117175321
2017-11-07 02:56:00,9.949575,-125.03519,5.93,123.89875428933124
2017-11-07 02:57:00,9.95092,-125.037506,5.93,124.06241082225144
2017-11-07 02:58:00,9.95206,-125.03996,6.05,124.22883982971683
2017-11-07 02:59:00,9.953249,-125.04248,6.05,124.39591109114404
2017-11-07 03:00:00,9.954214,-125.04509,6.18,124.56521037876614
2017-11-07 03:01:00,9.954511,-125.04779,6.18,124.73880217165484
2017-11-07 03:02:00,9.954359,-125.05051,6.31,124.91474535607637
2017-11-07 03:03:00,9.953984,-125.05325,6.18,125.09198909358454
2017-11-07 03:04:00,9.95323,-125.05591,6.43,125.26994042257554
2017-11-07 03:05:00,9.952088,-125.058395,6.31,125.44738878743895
2017-11-07 03:06:00,9.950806,-125.06088,6.18,125.62548811417162
2017-11-07 03:07:00,9.949307,-125.06314,6.05,125.80163021379275
2017-11-07 03:08:00,9.948204,-125.06441,6.31,125.96287966202738
2017-11-07 03:09:00,9.946544,-125.06595,6.18,126.1302784701684
2017-11-07 03:10:00,9.944025,-125.06763,6.05,126.30351704111251
2017-11-07 03:11:00,9.941324,-125.06889,6.18,126.4720649222029
2017-11-07 03:12:00,9.938518,-125.06979,5.93,126.63635507588036
2017-11-07 03:13:00,9.93552,-125.070465,6.05,126.79857175925514
2017-11-07 03:14:00,9.932687,-125.070694,6.18,126.9541415343154
2017-11-07 03:15:00,9.930081,-125.07042,6.05,127.10202467605164
2017-11-07 03:16:00,9.928382,-125.07001,5.93,127.24389760082258
2017-11-07 03:17:00,9.927843,-125.069855,5.93,127.38373855527637
2017-11-07 03:18:00,9.923566,-125.06859,5.8,127.526326849465
2017-11-07 03:19:00,9.920682,-125.06853,5.8,127.67832381839156
2017-11-07 03:20:00,9.917678,-125.06854,5.67,127.83180157801561
2017-11-07 03:21:00,9.914591,-125.06859,5.93,127.9861925926798
2017-11-07 03:22:00,9.91165,-125.06859,5.8,128.13924558755102
2017-11-07 03:23:00,9.909219,-125.06862,5.8,128.2903227170609
2017-11-07 03:24:00,9.907093,-125.068634,5.93,128.4397707485826
2017-11-07 03:25:00,9.904859,-125.068634,5.67,128.58953638601304
2017-11-07 03:26:00,9.902368,-125.06856,5.55,128.73952144730143
2017-11-07 03:27:00,9.89982,-125.06813,5.67,128.88507832701472
2017-11-07 03:28:00,9.8973,-125.06737,5.55,129.02615456127384
2017-11-07 03:29:00,9.894792,-125.066376,5.93,129.16409013207166
2017-11-07 03:30:00,9.892289,-125.06526,5.67,129.3003941049104
2017-11-07 03:31:00,9.889878,-125.064026,5.67,129.43471468625046
2017-11-07 03:32:00,9.88747,-125.06261,5.93,129.56662197761793
2017-11-07 03:33:00,9.88512,-125.06119,5.93,129.69820685201745
2017-11-07 03:34:00,9.882697,-125.05974,5.93,129.82973566080028
2017-11-07 03:35:00,9.880295,-125.058304,6.05,129.96135138997874
2017-11-07 03:36:00,9.877939,-125.056915,5.93,130.09337284166995
2017-11-07 03:37:00,9.875533,-125.05551,6.05,130.2254158486846
2017-11-07 03:38:00,9.873174,-125.05412,5.93,130.35743806636756
2017-11-07 03:39:00,9.870885,-125.05263,6.18,130.48781648400052
2017-11-07 03:40:00,9.868637,-125.051056,6.18,130.6168968747436
2017-11-07 03:41:00,9.866469,-125.04939,6.05,130.74439243368937
2017-11-07 03:42:00,9.864605,-125.04735,5.93,130.86554396194168
2017-11-07 03:43:00,9.863368,-125.04491,5.8,130.9785068345034
2017-11-07 03:44:00,9.862559,-125.04227,6.18,131.08684298540504
2017-11-07 03:45:00,9.862219,-125.03958,5.8,131.19233925448626
2017-11-07 03:46:00,9.862183,-125.03677,5.67,131.294840023427
2017-11-07 03:47:00,9.862184,-125.03398,6.05,131.39743241626806
2017-11-07 03:48:00,9.862225,-125.031265,5.8,131.50082755934014
2017-11-07 03:49:00,9.862265,-125.02847,5.93,131.60317269684745
2017-11-07 03:50:00,9.862412,-125.02576,5.8,131.7061408847456
2017-11-07 03:51:00,9.862857,-125.022995,5.8,131.80699837829366
2017-11-07 03:52:00,9.863561,-125.02034,5.8,131.90810174341033
2017-11-07 03:53:00,9.864546,-125.01778,5.55,132.00915093821973
2017-11-07 03:54:00,9.86584,-125.01532,5.67,132.11008168630408
2017-11-07 03:55:00,9.867445,-125.01303,5.42,132.21180751158857
2017-11-07 03:56:00,9.869284,-125.010925,5.42,132.31488419096888
2017-11-07 03:57:00,9.871479,-125.009155,5.42,132.4207219363459
2017-11-07 03:58:00,9.873842,-125.00772,5.3,132.53019489651572
2017-11-07 03:59:00,9.876394,-125.00658,4.92,132.64267809955174
2017-11-07 04:00:00,9.879085,-125.00574,5.04,132.75846994779187
2017-11-07 04:01:00,9.88183,-125.00545,5.42,132.88126146587342
2017-11-07 04:02:00,9.884582,-125.0058,5.55,133.0124576781993
2017-11-07 04:03:00,9.887211,-125.00679,5.42,133.1526630493626
2017-11-07 04:04:00,9.889596,-125.008255,5.42,133.3002649698675
2017-11-07 04:05:00,9.891775,-125.00998,5.55,133.4522523639655
2017-11-07 04:06:00,9.893692,-125.01204,5.55,133.6098743557412
2017-11-07 04:07:00,9.895186,-125.014404,5.67,133.77347087241864
2017-11-07 04:08:00,9.896229,-125.01695,5.67,133.941563757051
2017-11-07 04:09:00,9.896817,-125.019714,5.8,134.11464620343045
2017-11-07 04:10:00,9.897048,-125.02251,5.55,134.28981046469397
2017-11-07 04:11:00,9.896951,-125.0253,5.8,134.46642073747617
2017-11-07 04:12:00,9.896574,-125.02806,5.8,134.64393743826258
2017-11-07 04:13:00,9.8958,-125.03076,5.8,134.82250908945264
2017-11-07 04:14:00,9.894883,-125.03342,5.93,135.00121832404898
2017-11-07 04:15:00,9.893807,-125.03604,5.8,135.1801395376936
2017-11-07 04:16:00,9.892528,-125.03851,5.8,135.3580271673762
2017-11-07 04:17:00,9.890969,-125.04083,5.8,135.53523924212473
2017-11-07 04:18:00,9.889284,-125.043106,5.8,135.712457122145
2017-11-07 04:19:00,9.88735,-125.045074,5.8,135.88677236147245
2017-11-07 04:20:00,9.885184,-125.04672,5.8,136.05792135006084
2017-11-07 04:21:00,9.88275,-125.048035,5.93,136.22595282938508
2017-11-07 04:22:00,9.880206,-125.04906,5.8,136.3906726533152
2017-11-07 04:23:00,9.877619,-125.0499,5.67,136.55315352517044
